86 1
4734 5
38358 9
9155 2
5453 7
16522 6
86 1
246 4
154 1
10278 1
128 2
122947 1000
104 1
17406 6
87 1
86 1
3774 1
28758 1
38478 185
77645 26
5069 1
7181 1
109264 82
100 1
21222 14
153052 1000
20190 3
18366 12
129 1
9222 6
56574 10
111 4
7301 2
11094 3
27726 8
558 1
86 1
97 1
2718 4
1470 3
11073 615
40781 4
222 3
39606 39
25761 6
246 3
75533 2
56598 1
13877 90
16950 4
32465 335
82 1
103 1
99 2
134 4
87 1
95886 5
17406 1
81 1
82518 4
58106 1
36702 26
31829 12
30390 1
121 1
125149 1000
81 1
89406 293
133 1
40493 1
15149 9
98 1
83765 2
198 1
7157 1
119669 4
46518 1000
17670 1
62286 683
84 1
54889 79
43422 6
2132 1
8166 1
14968 2
10230 4
42990 31
3582 3
119669 342
132055 61
91782 64
103 1
7805 2
110909 2
774 1
86 1
86 1
81 1
112 1
910 4
114078 6
174 3
55974 4
5669 2
9942 72
105102 78
10950 1000
1401 17
2406 5
91877 1
198 1
76781 158
3216 5
75269 4
26598 1
87 1
20814 1
2262 11
486 25
6564 7
3750 1
25574 9
25782 13
119669 1
119669 11
63846 10
195 2
87 1
8004 3
222 1
101477 86
